feature,importance
solvent_1_emb_191,0.0002633729607369894
startingmat_1_smiles_emb_323,0.00026311123582001126
catalyst_emb_199,0.00026243371267274727
catalyst_emb_321,0.0002596374988007549
solvent_1_emb_230,0.0002590481428040084
catalyst_emb_642,0.0002588886381993843
catalyst_emb_71,0.00025874321111216337
water_emb_156,0.0002584830936625703
base_emb_417,0.00025732011536499843
solvent_1_emb_513,0.00025688826681642777
catalyst_emb_468,0.00025649122237230175
solvent_1_emb_530,0.00025535812835475333
catalyst_emb_492,0.0002533739777790467
catalyst_emb_282,0.0002531458635437575
catalyst_emb_456,0.00025290805579302464
catalyst_emb_58,0.0002520967962304315
catalyst_emb_306,0.0002493682664775795
catalyst_emb_644,0.0002492000669357359
startingmat_2_smiles_emb_664,0.0002490040533370164
catalyst_emb_643,0.0002487155129413863
startingmat_2_smiles_emb_297,0.00024863708801744534
catalyst_emb_673,0.00024557444860415163
base_emb_603,0.00024490671639459705
additives_emb_105,0.0002448457787673609
base_emb_641,0.00024112161781395514
catalyst_emb_379,0.00024077990921678375
catalyst_emb_605,0.00023916810654083163
solvent_1_emb_256,0.0002388400614164338
catalyst_emb_243,0.00023602677429236608
catalyst_emb_286,0.00023521899757577403
solvent_1_emb_222,0.00023485734176968722
startingmat_2_smiles_emb_324,0.0002343102426807164
solvent_1_emb_144,0.00023417185435219693
catalyst_emb_358,0.0002340142494817553
catalyst_emb_655,0.00023210818285205944
catalyst_emb_305,0.00023122358867891154
solvent_1_emb_620,0.00023051827583033804
base_emb_534,0.00022966285962578684
startingmat_2_smiles_emb_648,0.00022940968351262955
catalyst_emb_386,0.00022901349151332898
catalyst_emb_691,0.00022882191062770173
base_emb_273,0.00022858264154298244
base_emb_617,0.0002282814118972365
solvent_1_emb_243,0.00022804540645842032
startingmat_2_smiles_emb_259,0.0002280386112553832
solvent_1_emb_215,0.00022781229933201068
catalyst_emb_683,0.00022489038638161477
startingmat_2_smiles_emb_677,0.00022392768390688963
solvent_1_emb_316,0.00022316226152033902
base_emb_607,0.00022285684271716516
catalyst_emb_193,0.00022246364645253687
solvent_1_emb_314,0.0002210967633527184
catalyst_emb_423,0.00022099999868724715
catalyst_emb_98,0.00022068374165700691
base_emb_242,0.00022035313919813274
base_emb_169,0.00021894933305958931
catalyst_emb_13,0.00021794763732299166
product_1_smiles_emb_387,0.00021701243228277876
catalyst_emb_237,0.00021668994022752954
base_emb_606,0.00021656331563760125
catalyst_emb_727,0.00021573532380086293
product_1_smiles_emb_8,0.0002156967932947528
catalyst_emb_652,0.00021452217303642195
catalyst_emb_578,0.0002142534337163087
base_emb_567,0.0002136701666111725
catalyst_emb_333,0.00021333795668491322
catalyst_emb_724,0.00021305840349330002
solvent_1_emb_272,0.0002127640908284234
catalyst_emb_493,0.00021228038927889926
base_emb_681,0.00021221370373798298
catalyst_emb_577,0.00021220069786550332
base_emb_663,0.0002118885082148588
catalyst_emb_12,0.00021080035021739453
catalyst_emb_172,0.0002100893625218402
startingmat_2_smiles_emb_278,0.0002098084941296392
startingmat_2_smiles_emb_663,0.0002093861686075471
base_emb_588,0.00020863209591495812
catalyst_emb_374,0.00020648427593276595
